cod_nombram,nomb_nombram
no96,"Acuerdo C.D. 5, Consejo Directivo"
no97,"Acuerdo 5, Consejo Directivo"
no98,"Resolución 001, Asamblea De Fundadores"
no99,"Acuerdo 137, Consejo De Fundadores"
no100,"Acuerdo C.D. 100, Consejo Directivo"
no101,"Acta 101, Consejo De Fundadores"
no102,"Resoluc C.D. 07, Consejo Directivo"
no103,"Acuerdo C.S. 019, Consejo Superior"
no104,"Acta 005, Asamblea General"
no105,"Acta AG-40, Asamblea De Corporados"
no106,"Acuerdo C.D. 008, Consejo Directivo"
no107,"Acuerdo 019, Consejo Superior"
no108,"Acuerdo C.D. 16, Consejo Directivo"
no109,"Acta 08, Sala General"
no110,"Acuerdo C.S. 09, Consejo Superior"
no111,"Resolución 00008922, Comando Del Ejercito Nacional"
no112,"Decreto 142, Consejo De Fundadores"
no113,"Acta 031, Sala General"
no114,"Acuerdo 014, Consejo Superior"
no115,"Acta 086, Consejo De Fundadores"
no116,"Acuerdo 012021, Sala General"
no117,"Acta 86, Asamblea General"
no118,"Acta 005, Junta De Fundadores"
no119,"Acta 4, Consejo Superior"
no120,"Resolución 066, Consejo Superior Universitario"
no121,"Decreto 09, Asamblea De Fundadores"
no122,"Acuerdo 009, Sala General"
no123,"Acta ., Consejo Superior"
no124,"Acta 71, Consejo Directivo"
no125,"Resolución 019, Rectoria"
no126,"Resolución 001, Presidencia"
no127,"Acta C.D. 002, Consejo De Direccion"
no128,"Acta 04, Consejo Directivo"
no129,"Acuerdo 001, Consejo De Direccion"
no130,"Acta C.D. 10, Consejo Directivo"
no131,"Acta C.S. 754, Consiliatura"
no132,"Acta 144, Claustro"
no133,"Acuerdo 170, Sala General"
no134,"Acuerdo 01, Sala De Fundadores"
no135,"Acta 001, Asamblea Consejo De Fundadores"
no136,"Acta C.D. 05, Consejo Directivo"
no137,"Acuerdo 030, Consejo Directivo"
no138,"Resolución 6762, Ministerio De Defensa Nacional"
no139,"Acto Constitutivo 192, Claustro De Gobierno"
no140,"Resolución 02, Rectoria"
no141,"Acta 08, Consejo Superior Universitario"
no142,"Acuerdo 040-23, Asamblea General"
no143,"Acuerdo 02, Asamblea General"
no144,"Resoluc C.S. 005, Consejo Superior Universitario"
no145,"Acuerdo C.D. 02, Consejo Directivo"
no146,"Acta 062021, Asamblea"
no147,"Acta C.S. 96, Consejo Superior"
no148,"Decreto 2508N, Arquidiocesis De Medellin"
no149,"Decreto 009, Capitulo Universitario"
no150,"Acuerdo 011, Consejo Superior"
no151,"Resolución 0568, Ministerio De Defensa"
no152,"Resolución 5654, Ministerio De Defensa Nacional"
no153,"Resolución 001, Rectoria"
no154,"Acuerdo C.S. 03, Consejo Superior"
no155,"Acuerdo NO 1, Asamblea De Miembros Fundadores"
no156,"Decreto 425, Arquidiocesis De Santafe De Antioquia"
no157,"Acuerdo 001, Asamblea General"
no158,"Acuerdo C.D. 005, Consejo De Direccion"
no159,"Acuerdo C.D. 014, Consejo Directivo"
no160,"Resolución 0724, Ministerio De Defensa"
no161,"Acta 004-20, Sala General"
no162,"Resolución 669, Claustro"
no163,"Acta C.S. 004, Consejo Superior"
no164,"Acta 309, Consejo Superior"
no165,"Acta 035, Sala De Gobierno"
no166,"Acta 60, Sala General"
no167,"Acta C.D. 181, Consejo Directivo"
no168,"Resolución 7426, Ministerio De Defensa"
no169,"Acta C.D. 474, Consejo Directivo"
no170,"Decreto Rectoral 1635, Rectoria"
no171,"Acuerdo 05, Consejo Directivo"
